lambda,offset,r,oos
0.0,12,0.03,-0.01350360575786529
0.0,12,0.04,-0.013552145443524068
0.0,12,0.05,-0.013495747962010606
0.0,12,0.060000000000000005,-0.013670614349141392
0.0,12,0.06999999999999999,-0.013340997711510033
0.0,12,0.08,-0.013824707293615079
0.0,12,0.09,-0.013807216892179069
0.0,12,0.09999999999999999,-0.013968168511351561
0.0,12,0.11,-0.014016419851595022
0.0,12,0.12,-0.014071269899573104
0.0,12,0.13,-0.01410269236074969
0.0,12,0.14,-0.01413782531961659
0.0,13,0.01,-0.010803046925502952
0.0,13,0.02,-0.010776247208123731
0.0,13,0.03,-0.010515522343314902
0.0,13,0.04,-0.010545169252825835
0.0,13,0.05,-0.01027894369884117
0.0,13,0.060000000000000005,-0.010207056561384556
0.0,13,0.06999999999999999,-0.010132045875835653
0.0,13,0.08,-0.010085010643301025
0.0,13,0.09,-0.009964817663827192
0.0,13,0.09999999999999999,-0.00986327420686917
0.0,13,0.11,-0.009744632244823987
0.0,13,0.12,-0.009651260871021491
0.0,13,0.13,-0.009555582214884846
0.0,13,0.14,-0.009390446123515556
0.0,14,0.01,-0.00026915864746409127
0.0,14,0.02,-0.00026524818149232404
0.0,14,0.03,-0.00022502464321618354
0.0,14,0.04,-0.0002701867846591627
0.0,14,0.05,-0.0002679421136404306
0.0,14,0.060000000000000005,-0.00018433349242022706
0.0,14,0.06999999999999999,0.0038353095397868826
0.0,14,0.08,-0.00023434960142763753
0.0,14,0.09,-0.00025627836133239866
0.0,14,0.09999999999999999,-0.00021299246716376423
0.0,14,0.11,-0.000284296058688254
0.0,14,0.12,-0.0002148457030903718
0.0,14,0.13,-0.00023064902168993618
0.0,14,0.14,-0.0002588982015421929
0.0,15,0.01,-0.034047412718632666
0.0,15,0.02,-0.03404296982335044
0.0,15,0.03,-0.034039372776603884
0.0,15,0.04,-0.03402902088655271
0.0,15,0.05,-0.03402070494993153
0.0,15,0.060000000000000005,-0.03404385132599021
0.0,15,0.06999999999999999,-0.03385675446166696
0.0,15,0.08,-0.03404118421680814
